Image Name,Vote,Duration,Timestamp
10000ILSVRC2013_train_00051907.JPEG_I1_Q8.jpeg,1,1.6385,25-Jan-2023 19:31:55
10219ILSVRC2013_train_00057671.JPEG_I5_Q63.jpeg,4,0.30919,25-Jan-2023 19:32:04
10295ILSVRC2013_train_00057958.JPEG_I1_Q8.jpeg,1,0.34463,25-Jan-2023 19:32:13
1029ILSVRC2013_train_00004475.JPEG_I2_Q16.jpeg,2,0.35763,25-Jan-2023 19:32:22
10255ILSVRC2013_train_00057824.JPEG_I1_Q8.jpeg,2,0.35217,25-Jan-2023 19:32:31
10316ILSVRC2013_train_00052843.JPEG_I2_Q14.jpeg,1,1.1649,25-Jan-2023 19:32:41
10387ILSVRC2013_train_00058315.JPEG_I5_Q97.jpeg,4,0.35029,25-Jan-2023 19:32:51
10323ILSVRC2013_train_00052860.JPEG_I2_Q15.jpeg,3,1.247,25-Jan-2023 19:33:00
10041ILSVRC2013_train_00057117.JPEG_I1_Q5.jpeg,2,5.068,25-Jan-2023 19:33:14
10216ILSVRC2013_train_00057664.JPEG_I4_Q41.jpeg,4,0.42178,25-Jan-2023 19:33:23
10185ILSVRC2013_train_00043944.JPEG_I1_Q5.jpeg,1,0.36638,25-Jan-2023 19:33:32
10307ILSVRC2013_train_00044518.JPEG_I5_Q97.jpeg,4,0.32067,25-Jan-2023 19:33:41
10343ILSVRC2013_train_00052917.JPEG_I4_Q26.jpeg,3,0.41755,25-Jan-2023 19:33:50
1036ILSVRC2013_train_00017795.JPEG_I5_Q50.jpeg,2,5.0348,25-Jan-2023 19:34:04
10228ILSVRC2013_train_00052593.JPEG_I3_Q21.jpeg,3,1.1434,25-Jan-2023 19:34:14
1010ILSVRC2013_train_00016798.JPEG_I4_Q45.jpeg,2,0.50143,25-Jan-2023 19:34:23
10096ILSVRC2013_train_00052216.JPEG_I2_Q16.jpeg,2,0.3966,25-Jan-2023 19:34:32
1000ILSVRC2013_train_00087456.JPEG_I4_Q32.jpeg,3,4.0528,25-Jan-2023 19:34:45
10046ILSVRC2013_train_00043264.JPEG_I2_Q13.jpeg,1,0.37605,25-Jan-2023 19:34:54
10004ILSVRC2013_train_00056979.JPEG_I3_Q20.jpeg,2,0.45211,25-Jan-2023 19:35:03
10303ILSVRC2013_train_00058000.JPEG_I5_Q99.jpeg,3,0.47141,25-Jan-2023 19:35:12
1020ILSVRC2013_train_00016935.JPEG_I2_Q16.jpeg,2,2.1027,25-Jan-2023 19:35:23
10229ILSVRC2013_train_00052595.JPEG_I4_Q26.jpeg,2,1.6121,25-Jan-2023 19:35:33
